Country,NativeName,QualityOfLifeIndex
Canada,Canada,159.5119022
Japan,日本,165.3269052
Norway,KongeriketNorge,173.1581662
Ireland,Eire,153.1821907
Hungary,Magyarorszag,135.3439369
Spain,Espana,165.0911382
United States of America,UnitedStatesofAmerica,165.027791
Belgium,KoninkrijkBelgie,149.5607157
Luxembourg,Letzebuerg,172.1529819
Finland,Suomi,180.8092754
Sweden,Sverige,171.9887323
Poland,RzeczpospolitaPolska,120.6285696
Lithuania,Lietuva,160.1159207
Italy,RepubblicaItaliana,139.3094514
Switzerland,SchweizerischeEidgenossenschaft,190.1646317
Austria,RepublikOsterreich,177.0680739
Greece,Ελλάδα,127.8532006
Turkey,TurkiyeCumhuriyeti,124.5720904
Portugal,RepublicaPortuguesa,160.4971269
Uruguay,Uruguay,122.9563289
Egypt,جُمهورِيّةُمِصرَالعَرَبيّةِ,88.60718064
Mexico,México,123.5528199
Kenya,JamhuriyaKenya,86.67243252
Ethiopia,ኢትዮጵያ,69.0747686
Ghana,Ghana,14.66820008
France,Republiquefrancaise,155.7138765
United Kingdom,UnitedKingdomofGreatBritainandNorthernIreland,159.2289569
China,中华人民共和国,104.923988
Brazil,RepublicaFederativadoBrasil,105.932549
Russia,Россия,100.5708005
Germany,BundesrepublikDeutschland,177.5675559
Belarus,РэспублікаБеларусь,107.8684902
Iceland,Island,179.500319
Estonia,EestiVabariik,172.3077241
Latvia,Latvija,148.3650186
Ukraine,Україна,108.9843631
Czechia,Ceskarepublika,159.4677677
Slovakia,Slovenskarepublika,148.9316404
Slovenia,Slovenija,167.8182557
Moldova,RepublicaMoldova,113.8070778
Romania,Romania,132.1925553
Bulgaria,България,128.2140686
North Macedonia,РепубликаСевернаМакедонија,108.8021087
Albania,RepublikaeShqiperise,97.76984817
Croatia,RepublikaHrvatska,155.4682852
Bosnia and Herz,BosnaiHercegovina,126.784491
Azerbaijan,AzərbaycanRespublikası,101.4563516
Cyprus,ΚυπριακήΔημοκρατία,147.161823
Georgia,საქართველო,116.8943934
Kazakhstan,ҚазақстанРеспубликасы,94.88497192
Malta,Malta,108.7784617
Montenegro,ЦрнаГора/CrnaGora,132.8716612
Cuba,RepublicadeCuba,87.44784811
Indonesia,RepublikIndonesia,89.90425855
South Africa,Suid-Afrika,133.3919898
Algeria,الجمهوريةالجزائريةالديمقراطيةالشعبية,97.80132162
Uzbekistan,Oʻzbekiston,118.3183488
Chile,RepúblicadeChile,99.12947592
Singapore,RepublicofSingapore,148.8993343
Bahrain,البحرين,132.0636863
Armenia,Հայաստան,115.5957862
Serbia,Србија,117.7503677
Australia,Australia,180.5304316
Argentina,Argentina,104.3137395
Peru,RepublicadelPeru,82.60683323
Cambodia,កម្ពុជា,57.87718267
New Zealand,Aotearoa,175.2133353
India,RepublicofIndia,104.9272974
Mongolia,МонголУлс,58.6268838
Fiji,RepublicofFiji,102.2237028
Venezuela,Venezuela,75.47441014
Suriname,RepubliekSuriname,104.3241548
Paraguay,RepublicadelParaguay,104.7434552
Ecuador,RepublicadelEcuador,116.5599708
Colombia,Colombia,103.1856642
Bolivia,EstadoPlurinacionaldeBolivia,93.77113688
Trinidad and Tobago,TrinidadandTobago,90.40292862
Jamaica,Jamaica,62.57309575
Guatemala,Guatemala,99.18330638
The Bahamas,CommonwealthoftheBahamas,117.0168897
Dominican Republic,RepúblicaDominicana,82.50962317
El Salvador,ElSalvador,79.77813894
Iran,ایران,64.66626335
Iraq,العراق,94.54016303
Costa Rica,RepublicadeCostaRica,121.1387391
Israel,יִשְרָאֵל,144.7432666
Panama,Panama,111.7559185
Jordan,الأردن,113.0998229
Kuwait,الكويت,114.8763844
Lebanon,الجمهوريةاللبنانية,99.54495689
Maldives,ދިވެހިރާއްޖޭގެޖުމުހޫރިއްޔާ,85.2585412
Malaysia,Malaysia,116.3452784
Nepal,नेपाल,94.6407432
Oman,سلطنةعُمان,170.6934525
Pakistan,پاکستان,102.7251681
Qatar,قطر,151.7374176
Saudi Arabia,المملكةالعربيةالسعودية,146.8203756
Sri Lanka,ශ්‍රීලංකාප්‍රජාතාන්ත්‍රිකසමාජවාදීජනරජය,71.94506658
Syria,الجمهوريةالعربيةالسورية,26.10035585
Taiwan,中華民國,140.5621263
Thailand,ประเทศไทย,100.3951096
United Arab Emirates,الإماراتالعربيةالمتحدة,158.4770624
Vietnam,ViệtNam,89.56495261
South Korea,대한민국,124.2537641
Bangladesh,গণপ্রজাতন্ত্রীবাংলাদেশ,65.60726703
Tanzania,JamhuriyaMuunganowaTanzania,71.7116704
Philippines,RepublikangPilipinas,78.99703152
Tunisia,تونس,113.9252437
Zimbabwe,Zimbabwe,86.08825224
Botswana,Botswana,96.87554213
Cote d'Ivoire,RepubliquedeCoted'Ivoire,24.3418011
Morocco,المغرب,106.0658287
Nigeria,Nijeriya,53.08991126
Netherlands,KoninkrijkderNederlanden,182.5359019
Denmark,KongerigetDanmark,188.635667
